doc,clusters5,clusters10,clusters15,clusters20,clusters25,clusters30,clusters40,clusters50
2P_1.pdf,1,0,11,16,23,11,9,30
2P_10.pdf,1,0,2,0,1,1,0,26
2P_100.pdf,2,7,11,16,19,26,24,12
2P_101.pdf,2,7,2,0,1,1,36,43
2P_102.pdf,2,1,10,14,14,16,20,46
2P_104.pdf,0,8,10,8,20,10,12,36
2P_105.pdf,0,8,7,19,6,29,28,27
2P_106.pdf,1,9,11,16,12,22,32,34
2P_107.pdf,1,9,5,4,24,15,26,24
2P_108.pdf,1,0,2,0,1,1,0,26
2P_109.pdf,0,1,7,19,6,28,19,20
2P_11.pdf,1,0,2,0,1,1,0,26
2P_110.pdf,1,0,2,0,1,1,30,18
2P_111.pdf,1,0,2,0,1,1,0,2
2P_112.pdf,1,9,2,0,1,1,30,48
2P_113.pdf,0,8,10,14,14,16,34,10
2P_114.pdf,1,0,2,0,1,1,0,26
2P_115.pdf,1,0,2,0,1,1,0,26
2P_116.pdf,0,4,7,6,11,6,6,37
2P_117.pdf,1,0,2,0,1,1,30,18
2P_118.pdf,1,0,2,0,1,1,0,26
2P_119.pdf,1,0,2,0,1,1,30,18
2P_12.pdf,1,0,2,0,1,1,0,26
2P_120.pdf,3,2,4,2,2,3,2,3
2P_121.pdf,2,7,2,0,12,21,36,43
2P_122.pdf,1,0,2,0,1,1,0,26
2P_123.pdf,2,7,13,17,18,24,18,19
2P_124.pdf,1,0,2,0,1,1,0,26
2P_13.pdf,1,0,2,0,1,1,0,26
2P_14.pdf,1,0,2,0,1,1,0,26
2P_15.pdf,1,0,2,0,1,21,22,2
2P_16.pdf,1,0,2,0,1,1,0,26
2P_17.pdf,1,0,2,0,1,1,0,26
2P_18.pdf,1,0,2,0,1,1,0,26
2P_19.pdf,1,0,2,0,1,1,0,26
2P_2.pdf,1,0,2,0,1,1,0,26
2P_20.pdf,1,0,2,0,1,1,0,26
2P_21.pdf,1,0,2,0,1,1,0,26
2P_22.pdf,1,0,2,0,1,1,0,26
2P_23.pdf,1,0,2,0,1,1,30,18
2P_24.pdf,1,0,2,0,1,1,0,26
2P_25.pdf,1,0,2,0,1,1,0,26
